SPID,DiffEx_ID
Q9CR41,
Q25381,
Q5M8C6,
D2GXS7,
P07813,
P49411,
Q9BYW2,
P86854,
Q5JXM2,
Q92090,
D2GXS7,
P76069,
A1L258,
Q5BK09,
Q9Y324,
Q16YG0,
P47835,
P20481,CGI_10000034
Q99NE9,
Q9Y600,CGI_10000038
Q64680,
P10817,
Q8NE22,
P55142,
P0AAW7,
Q6QN04,
Q9YHT2,
Q5RF33,
A7Y2W8,CGI_10000052
P84245,
Q9H892,
Q5JXM2,
Q2KJJ0,
P51593,
P23038,
Q2HJ57,
Q8C8N3,
Q08623,
Q03958,
A2AJT4,
P47727,
Q78P75,
P37380,
P53442,
P40312,
Q6P026,
P17371,
Q6DF11,
Q6PBF0,
O14832,
Q9ESN6,
D8VNS7,
Q8VCG3,
Q2TA11,
Q9H3K2,
Q96M53,
Q0P5Y3,
Q04688,
Q5ZJY5,
Q5U508,
Q9EPT4,
Q14562,
Q9UPM9,
Q9HQ19,
D2GXS7,
B0W2S0,
Q9BEA9,
Q8WZ42,
Q9NRZ9,
P07607,
Q6NXH2,
Q9ULC5,
A1YG61,
P39963,
Q9ERU9,
B2RS91,
Q9BYK8,CGI_10000144
Q91755,
P76062,
P46778,
O70277,CGI_10000156
Q63528,
P30769,
Q4UNC7,
P23876,
Q8WV92,
Q5GFD8,
Q9NWZ3,CGI_10000165
Q9NWZ3,CGI_10000166
O61462,
A5D7P8,
O35594,
Q91ZZ5,CGI_10000183
O75382,CGI_10000187
Q8R2Q0,
Q96G46,
Q9UP83,
P49165,
A5D6U8,
Q6GLP4,
P81112,
Q6DHJ1,
D8VNS7,
P34586,
Q9I931,
Q8VCG3,CGI_10000215
Q9H116,CGI_10000218
O35783,
Q2VYV2,
P60510,
A3KMV5,
O95786,
P25785,
Q9ESN6,
Q9CXW3,
Q9ESN6,
Q29HY3,
Q5F3X4,
Q04609,
Q5ZLC8,
B1H234,
P42742,
Q9W770,
Q5RDB5,
Q9I8C7,
Q8BKN5,
Q6DIS2,
Q08420,
Q9VWA8,
P38652,
P48597,
P11442,
O35566,
Q14162,
O43301,
Q8WPJ2,
Q62737,CGI_10000281
Q5RHH4,
P10079,CGI_10000286
Q9VAI0,
O35142,CGI_10000293
Q29RH4,
Q6R7B1,CGI_10000300
Q4R4Y9,CGI_10000304
Q32PI6,
O75352,
Q5JTH9,
Q8C525,
Q95254,
Q5SVS4,CGI_10000321
Q626H5,
O15031,
O88281,
Q9Y490,
Q96P70,
O62640,
Q8BFQ6,
Q801E2,
O75382,
A4D161,
Q8C790,
Q68EV6,
Q9R0Q8,
Q8R1J1,
O75382,
P47897,
P40631,
Q924I2,
Q99996,
Q9I927,
Q6FY25,
A2BIG9,CGI_10000380
Q5XGW6,CGI_10000381
Q1HR24,
P26652,
Q14656,
D2GXS7,
Q8N0W4,
P15870,CGI_10000402
Q98TZ8,
Q80T91,
Q60648,CGI_10000408
Q5UR67,
Q19PY3,
Q12794,CGI_10000417
Q6PBA8,
Q00341,
Q2KID0,
D2GXS7,
Q52KJ8,
Q4LDE5,
P10039,
