CGI_ID,log2FoldChange,SPID,Description,GOID,GOSlim_bin
CGI_10000034,24.843960742004,P20481,Buccalin,GO:0007218,signal transduction
CGI_10000038,442.280996156497,Q9Y600,Cysteine sulfinic acid decarboxylase,GO:0000096,other metabolic processes
CGI_10000038,442.280996156497,Q9Y600,Cysteine sulfinic acid decarboxylase,GO:0000098,other metabolic processes
CGI_10000038,442.280996156497,Q9Y600,Cysteine sulfinic acid decarboxylase,GO:0019752,other metabolic processes
CGI_10000038,442.280996156497,Q9Y600,Cysteine sulfinic acid decarboxylase,GO:0034641,other metabolic processes
CGI_10000052,141.474372787837,A7Y2W8,Sodium- and chloride-dependent glycine transporter 1,GO:0006810,transport
CGI_10000052,141.474372787837,A7Y2W8,Sodium- and chloride-dependent glycine transporter 1,GO:0006836,transport
CGI_10000052,141.474372787837,A7Y2W8,Sodium- and chloride-dependent glycine transporter 1,GO:0006865,transport
CGI_10000144,533.125486876439,Q9BYK8,Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein,GO:0006351,RNA metabolism
CGI_10000144,533.125486876439,Q9BYK8,Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein,GO:0006355,RNA metabolism
CGI_10000144,533.125486876439,Q9BYK8,Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein,GO:0044255,other metabolic processes
CGI_10000156,121.117119324957,O70277,Tripartite motif-containing protein 3,GO:0006810,transport
CGI_10000156,121.117119324957,O70277,Tripartite motif-containing protein 3,GO:0015031,transport
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0001816,other biological processes
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0002224,signal transduction
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0002224,stress response
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0002755,signal transduction
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0002755,stress response
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0006468,protein metabolism
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0007165,signal transduction
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0007254,signal transduction
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0007254,stress response
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0008063,signal transduction
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0016310,other metabolic processes
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0019221,signal transduction
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0034130,signal transduction
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0034130,stress response
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0034134,signal transduction
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0034134,stress response
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0034142,signal transduction
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0034142,stress response
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0045087,stress response
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0045944,RNA metabolism
CGI_10000165,57.1222916261774,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0048661,cell cycle and proliferation
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0001816,other biological processes
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0002224,signal transduction
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0002224,stress response
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0002755,signal transduction
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0002755,stress response
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0006468,protein metabolism
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0007165,signal transduction
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0007254,signal transduction
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0007254,stress response
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0008063,signal transduction
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0016310,other metabolic processes
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0019221,signal transduction
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0034130,signal transduction
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0034130,stress response
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0034134,signal transduction
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0034134,stress response
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0034142,signal transduction
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0034142,stress response
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0045087,stress response
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0045944,RNA metabolism
CGI_10000166,72.0939115320227,Q9NWZ3,Interleukin-1 receptor-associated kinase 4,GO:0048661,cell cycle and proliferation
CGI_10000183,18.9133672230785,Q91ZZ5,Relaxin receptor 2,GO:0001556,other biological processes
CGI_10000183,18.9133672230785,Q91ZZ5,Relaxin receptor 2,GO:0007165,signal transduction
CGI_10000183,18.9133672230785,Q91ZZ5,Relaxin receptor 2,GO:0007186,signal transduction
CGI_10000183,18.9133672230785,Q91ZZ5,Relaxin receptor 2,GO:0007189,other metabolic processes
CGI_10000183,18.9133672230785,Q91ZZ5,Relaxin receptor 2,GO:0007189,signal transduction
CGI_10000183,18.9133672230785,Q91ZZ5,Relaxin receptor 2,GO:0007193,other metabolic processes
CGI_10000183,18.9133672230785,Q91ZZ5,Relaxin receptor 2,GO:0007193,signal transduction
CGI_10000183,18.9133672230785,Q91ZZ5,Relaxin receptor 2,GO:0008285,cell cycle and proliferation
CGI_10000183,18.9133672230785,Q91ZZ5,Relaxin receptor 2,GO:0008584,developmental processes
CGI_10000183,18.9133672230785,Q91ZZ5,Relaxin receptor 2,GO:0030819,other metabolic processes
CGI_10000183,18.9133672230785,Q91ZZ5,Relaxin receptor 2,GO:0043066,death
CGI_10000187,92.8885292370538,O75382,Tripartite motif-containing protein 3,GO:0006810,transport
CGI_10000187,92.8885292370538,O75382,Tripartite motif-containing protein 3,GO:0007399,developmental processes
CGI_10000187,92.8885292370538,O75382,Tripartite motif-containing protein 3,GO:0015031,transport
CGI_10000215,46.751753047612,Q8VCG3,WD repeat-containing protein 74,GO:0008150,other biological processes
CGI_10000218,12.5470483958353,Q9H116,GDNF-inducible zinc finger protein 1,GO:0000122,RNA metabolism
CGI_10000218,12.5470483958353,Q9H116,GDNF-inducible zinc finger protein 1,GO:0001658,developmental processes
CGI_10000218,12.5470483958353,Q9H116,GDNF-inducible zinc finger protein 1,GO:0006351,RNA metabolism
